Patron Type Definition,Total Checkouts,Total Renewals,Circulation Active Year
1,7,0,2015
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,12,0,2015
1,52,73,2015
1,6,6,2011
1,4969,1101,2015
1,1164,760,2016
1,5,8,2014
1,3,0,2014
1,1310,227,2016
1,11,20,2014
1,770,36,2016
1,116,110,2016
1,306,307,2016
1,13,0,2013
0,1,2,2016
1,304,6,2014
1,487,128,2016
1,27,35,2014
1,91,20,2014
1,4,12,2015
1,2,0,2013
1,7,32,2016
1,32,2,2006
1,113,33,2014
1,2,0,2016
1,12,3,2015
1,157,47,2016
1,77,37,2015
1,0,0,0
1,0,0,0
1,48,0,2016
1,0,0,2012
1,4,5,2005
1,55,13,2014
1,934,374,2013
1,4,0,2013
1,88,68,2016
1,97,15,2016
1,42,69,2015
1,0,0,2015
1,228,50,2012
1,374,250,2016
1,36,11,2014
1,307,23,2016
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,7,4,2016
1,55,73,2013
0,211,168,2016
1,1024,156,2016
1,36,16,2014
1,129,89,2016
1,139,145,2016
1,17,0,2015
1,7,0,2015
1,69,0,2012
0,0,0,0
1,83,51,2016
1,1,0,2013
1,15,22,2010
1,34,1,2016
1,2267,398,2016
1,132,156,2016
1,12,2,2016
1,4,1,2013
1,115,143,2015
1,45,6,2016
1,28,2,2016
1,336,20,2016
1,363,340,2016
0,1,0,2015
1,410,848,2016
1,11,1,2015
1,6,0,2015
1,450,599,2016
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,139,132,2016
1,308,147,2016
1,14,12,2015
1,20,0,2013
1,32,21,2015
1,11,2,2012
1,2,0,2013
0,0,0,0
1,5,8,2016
1,115,2,2014
1,8,10,2016
1,1,1,2012
1,8,0,2014
1,11,17,2016
1,21,28,2013
1,9,22,2013
1,898,1129,2014
1,1,0,2015
1,53,15,2016
1,18,0,2010
1,4,2,2013
1,7,6,2013
1,10,31,2015
1,324,157,2016
1,339,11,2015
1,7,2,2016
1,157,68,2016
1,5,30,2015
1,22,42,2014
1,12,0,2013
1,1,2,2012
1,515,19,2016
1,0,0,0
1,292,157,2016
1,14,1,2012
1,2,0,2012
1,5,5,2015
1,13,4,2013
1,1,0,2015
1,55,23,2016
0,0,0,0
1,797,22,2016
1,1087,46,2014
1,9,6,2014
1,57,50,2015
1,11,1,2014
1,1847,1607,2016
1,18,0,2015
1,9,1,2014
1,68,22,2014
1,1927,94,2014
0,2,0,2016
1,6,0,2014
1,17,10,2016
1,0,0,2015
1,0,0,0
1,41,0,2012
1,186,126,2016
1,306,62,2016
1,14,2,2015
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,1,0,2013
1,1,3,2014
1,8,4,2016
1,23,6,2015
1,0,0,0
0,1,0,2013
1,35,2,2007
1,9,8,2013
1,12,28,2016
1,5,0,2013
1,272,84,2016
1,14,15,2016
1,175,159,2013
1,16,14,2014
1,29,0,2014
1,51,4,2016
1,3,4,2015
1,4,0,2015
1,49,99,2016
1,32,17,2016
1,638,280,2016
1,38,4,2014
1,4,2,2008
1,456,255,2016
1,3,0,2012
1,75,54,2016
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
