Library_Full_Name,Ontario_Library_Service_Region,Type_of_Library_Service,City/Town,No_of_Active_Library_Cardholders,Total_Operating_Revenues,Physical_materials,Electronic_materials,Librarians,Library_Technicians,Total_circulation_of_all_library_materials,No_of_standard_reference_transactions,No_of_electronic_reference_transactions,No_of_Readers_Advisory_transactions,Number_of_technology_support_requests
Petawawa,Southern Ontario Library Service,Public or Union Library,Petawawa,3597,838488,40771,26822,1,1,1473,9,3,16,8
Peterborough,Southern Ontario Library Service,Public or Union Library,Peterborough,15918,4508079,221158,351443,6,4,11116,169,28,124,193
Phelps,Ontario Library Service - North,LSB Library,Redbridge,142,7354,78,0,0,0,57,2,0,11,1
Pickering,Southern Ontario Library Service,Public or Union Library,Pickering,37795,6467141,298446,308038,9,0,16506,102,6,36,156
Port Colborne,Southern Ontario Library Service,Public or Union Library,Port Colborne,5282,986522,35855,31479,2,2,2116,74,78,17,44
Port Hope,Southern Ontario Library Service,Public or Union Library,Port Hope,13087,1057715,70509,23004,2,0,2132,56,2,46,43
Powassan & District Union Public Library,Ontario Library Service - North,Public or Union Library,Powassan,1164,253280,5281,6140,0,0,646,6,2,10,19
Prescott,Southern Ontario Library Service,Public or Union Library,Prescott,1570,238132,15000,3533,1,0,454,15,15,2,100
Prince Edward County,Southern Ontario Library Service,Public or Union Library,Picton,8281,1660420,46443,55116,1,0,3826,39,9,98,76
Prince Twp Public Library,Ontario Library Service - North,Public or Union Library,Prince Township,270,15679,3100,690,0,0,34,2,0,0,0
Quinte West,Southern Ontario Library Service,Public or Union Library,Trenton,7426,1840309,102455,64000,3,1,6937,21,10,14,60
Rainy River,Ontario Library Service - North,Public or Union Library,Rainy River,668,61502,53,736,0,0,2933,0,0,0,0
Ramara Twp,Southern Ontario Library Service,Public or Union Library,Ramara,1718,523123,12801,5291,0,0,736,15,0,7,1
Red Lake,Ontario Library Service - North,Public or Union Library,Balmertown,1377,222811,14784,2174,0,0,220,10,4,4,1
Red Rock Twp,Ontario Library Service - North,Public or Union Library,Red Rock,302,125733,10976,4366,0,0,123,1,1,1,2
Renfrew,Southern Ontario Library Service,Public or Union Library,Renfrew,4499,618403,24152,23918,2,2,1361,110,50,25,25
Restoule LSB,Ontario Library Service - North,Contracting LSB,Restoule,0,4438,0,0,0,0,0,0,0,0,0
Richmond Hill,Southern Ontario Library Service,Public or Union Library,Richmond Hill,53686,11195863,614961,478013,14,6,37282,226,51,26,127
Rideau Lakes Public Library,Southern Ontario Library Service,Public or Union Library,Elgin,2714,659247,23142,17161,1,0,1328,4,0,26,7
Robinson  LSB,Ontario Library Service - North,Contracting LSB,Silver Water,0,397,0,0,0,0,0,0,0,0,0
Rossport LSB,Ontario Library Service - North,Contracting LSB,Rossport,0,289,0,0,0,0,0,0,0,0,0
Russell,Southern Ontario Library Service,Public or Union Library,Russell,2514,895536,45732,19673,2,2,2057,17,1,11,8
Sables-Spanish Rivers Twp,Ontario Library Service - North,Public or Union Library,Massey,641,224376,6000,3092,2,0,104,4,2,8,7
Sachigo Lake FN,Ontario Library Service - North,First Nations Library,Sachigo Lake,75,29548,0,0,0,0,55,0,0,0,0
Sagamok Anishnawbek FN,Ontario Library Service - North,First Nations Library,Sagamok,84,16073,0,0,0,0,10,0,0,0,0
Saugeen FN,Southern Ontario Library Service,First Nations Library,Southampton,101,106441,5000,2500,1,0,14,1,0,0,3
Sault Ste. Marie,Ontario Library Service - North,Public or Union Library,Sault Ste. Marie,24882,3553986,90024,64097,4,8,6557,265,5,40,215
Schreiber Twp,Ontario Library Service - North,Public or Union Library,Schreiber,770,138409,4376,2840,0,0,160,3,8,3,2
Scugog Memorial,Southern Ontario Library Service,Public or Union Library,Port Perry,4084,881313,38325,8999,2,0,2006,69,7,25,18
Searchmont LSB,Ontario Library Service - North,Contracting LSB,Searchmont,0,859,0,0,0,0,0,0,0,0,0
Seguin Twp,Ontario Library Service - North,Public or Union Library,Seguin,1418,246424,17660,2865,0,1,590,9,0,9,15
Seine River FN,Ontario Library Service - North,First Nations Library,Seine River FN,4,37002,0,0,0,0,11,0,0,0,0
Selwyn,Southern Ontario Library Service,Public or Union Library,Bridgenorth,6205,751725,67924,24252,1,0,1795,64,0,54,39
Serpent River FN,Ontario Library Service - North,First Nations Library,Cutler,1,17053,0,0,0,0,2,0,0,0,0
Severn Township Library,Southern Ontario Library Service,Public or Union Library,Coldwater,754,262782,22636,17201,1,0,934,26,12,9,2
Shelburne,Southern Ontario Library Service,Public or Union Library,Shelburne,3974,538077,27401,21316,2,0,1958,82,5,27,50
Sheshegwaning FN,Ontario Library Service - North,First Nations Library,Sheshegwaning,50,20320,0,0,0,0,100,0,0,0,0
"Shuniah, Corporation of the Municipality of",Ontario Library Service - North,Contracting Municipality,Shuniah,0,5592,0,0,0,0,0,0,0,0,0
Sioux Lookout,Ontario Library Service - North,Public or Union Library,Sioux Lookout,907,390696,21400,4146,2,0,337,15,3,5,4
Sioux Narrows Nestor Falls Twp,Ontario Library Service - North,Public or Union Library,Sioux Narrows,312,31071,10146,2110,0,0,37,0,0,0,0
Six Nations FN,Southern Ontario Library Service,First Nations Library,Ohsweken,670,230065,19688,3430,1,0,62,20,80,9,18
Smiths Falls,Southern Ontario Library Service,Public or Union Library,Smiths Falls,1665,556921,44177,16895,1,1,1095,42,18,37,7
South Algonquin Twp,Ontario Library Service - North,Public or Union Library,Whitney,303,88258,8000,1100,0,0,93,4,1,5,5
South River-Machar Union,Ontario Library Service - North,Public or Union Library,South River,567,100980,6290,4722,0,0,578,2,1,0,8
Southgate Twp.,Southern Ontario Library Service,Public or Union Library,Dundalk,3673,470732,26976,13883,1,1,361,3,1,4,8
Spanish Twp,Ontario Library Service - North,Public or Union Library,Spanish,133,68088,4908,1800,0,0,68,0,0,0,0
Springwater Twp,Southern Ontario Library Service,Public or Union Library,Midhurst,9488,1050785,50941,15505,2,0,1957,38,10,49,16
St. Catharines,Southern Ontario Library Service,Public or Union Library,St. Catharines,63050,6786882,315845,460116,14,4,22444,848,49,77,357
St. Charles,Ontario Library Service - North,Public or Union Library,St. Charles,408,75575,4001,2637,1,0,75,47,13,0,2
St. Joseph Twp,Ontario Library Service - North,Public or Union Library,Richards Landing,1547,54799,5772,1103,0,0,232,15,20,35,15
St. Marys Public Library,Southern Ontario Library Service,Public or Union Library,St. Marys,2836,663464,56562,14784,2,1,2062,18,5,18,5
St. Thomas,Southern Ontario Library Service,Public or Union Library,St. Thomas,16050,3026578,162008,65308,4,0,4511,414,0,30,108
Stirling-Rawdon,Southern Ontario Library Service,Public or Union Library,Stirling,1133,238612,10172,3197,0,0,565,3,0,7,11
"Stormont, Dundas & Glengarry County",Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",Cornwall,9537,2855438,160178,138656,1,2,4109,56,4,88,50
Stratford,Southern Ontario Library Service,Public or Union Library,Stratford,7874,2992085,117459,103327,11,1,8712,444,50,93,121
Sundridge-Strong Union,Ontario Library Service - North,Public or Union Library,Sundridge,596,109135,9268,2510,0,0,254,18,1,15,7
Tarbutt & Tarbutt Additional Twp,Ontario Library Service - North,Contracting Municipality,Desbarats,0,1901,0,0,0,0,0,0,0,0,0
Tay Twp,Southern Ontario Library Service,Public or Union Library,Victoria Harbour,2045,447861,21582,5140,0,0,758,94,17,32,14
Tehkummah Twp,Ontario Library Service - North,Public or Union Library,Tehkummah,460,16605,1265,0,0,0,37,0,0,2,1
Temagami,Ontario Library Service - North,Public or Union Library,Temagami,294,111876,4908,662,0,0,46,0,0,0,0
Temagami FN,Ontario Library Service - North,First Nations Library,Bear Island,64,77174,636,0,0,0,3,12,2,0,5
Temiskaming Shores,Ontario Library Service - North,Public or Union Library,Temiskaming Shores,2546,629013,27850,8053,1,0,1162,111,4,26,26
Terrace Bay Twp,Ontario Library Service - North,Public or Union Library,Terrace Bay,974,228934,15115,3298,0,0,165,4,0,6,5
Thessalon,Ontario Library Service - North,Public or Union Library,Thessalon,500,60821,7646,994,1,1,75,0,0,7,7
Thessalon FN,Ontario Library Service - North,First Nations Library,Thessalon,160,33783,0,153,0,0,10,0,0,0,0
"Thornloe, Village of",Ontario Library Service - North,Contracting Municipality,Earlton,0,248,0,0,0,0,0,0,0,0,0
Thorold,Southern Ontario Library Service,Public or Union Library,Thorold,11727,797809,26741,6518,2,2,2638,40,16,2,87
Thunder Bay,Ontario Library Service - North,Public or Union Library,Thunder Bay,38460,7305509,172472,216501,7,20,6953,647,197,269,208
